id,index,season,episode,cut_seconds,cut_start,cut_stop,clip_start,clip_stop,cut_content,type,subtype,subtype2,visual,sidenote,guideline_no
39,25,2,8,80,11:46,13:06,,,"LEONARD: If I knew you are waiting, I would have swallowed that lasagna whole. | VOICE MAIL: You've reached Dr. Stephanie Barnett. Leave a message. | HOWARD: Hey Steph, it's me again, Howard. Listen, if you are free Friday, maybe we could have a little something to eat at my place. My mom cooks a hell of a brisket. Let me know. It's Howard. | LEONARD: I've had her brisket. Melts in your mouth. | STEPHANIE: Maybe we should think about going to the bedroom. | LEONARD: That's a good idea. There's a bed in there, and I am very very very pro-bed. | VOICE MAIL: You've reached Dr. Stephanie Barnett. Leave a message. | HOWARD: Hey, it's me again. Just want to let you know, the headcount for dinner Friday has gone up. My Aunt Betty and Uncle Elliot are coming in from Palm Springs. Oh, and if anybody should ask, you are half-Jewish on your mother's side. Okay, call me. It's Howard. | LEONARD: Didn't you think we should tell him you are not interested? | STEPHANIE: Do you want me to stop and call him back right now? | LEONARD: Dear god, no.",sex,long-time-kissing,,TRUE,,3
40,26,2,9,5,11:01,11:06,,,"SHELDON: And don't worry, this is all entirely confidential, so you feel free to include any and all shortcomings in the bedroom.",sex,sexual-description,,,,3
41,26,2,9,2,12:07,12:09,,,RAJ: During which she defected to North Korea.,disrespect,north-korea,,,,1
42,27,2,10,32,3:58,4:30,,,"LEONARD: I don't care what the symptoms are. My girlfriend is not going to give you a prostate exam. | STEPHANIE: Hey Sheldon. | SHELDON: Good morning, Dr. Stephanie. I trust Leonard satisfied you sexually last night. | LEONARD: Oh god. Sheldon, we don't ask questions like that. | SHELDON: I heard you ask it over and over. How is it inappropriate for me to ask it once? | STEPHANIE: He did it very nicely. | SHELDON: See? She's not offended. And now you finally have an answer.",sex,sexual-description,,,,3
43,27,2,10,5,18:49,18:54,,,"LEONARD: But every time I talk to her about moving out, she cries and we have sex.",sex,sexual-description,,,,3
44,29,2,12,4,10:41,10:45,,,LEONARD: and he was nine feet tall and he took my pants off. And you said…,non-heteronormative-relationship,homosexual,,,"although the original context is bullying, this can be considered as ""homosexual"" intendency because a male character said such…?",9
45,30,2,13,24,7:25,7:49,,,"SHELDON: And your essay, suggesting that I'd have better luck making friends if I wait till the Cylons take over? Please. | HOWARD: Hold on. I put some real work into that! | SHELDON: Yes, well it's better than what Wolowitz did. He drew a raccoon with that what appears to be, a distended scrotum. | HOWARD: It's kinda cute. Until you get to the scrotum.",sex,body-part,,,,3
46,30,2,13,15,10:08,10:23,00:04.26,00:20.00,"SHELDON: Alright, let's see. Bernie Bunny has two daddies now. It's probably about homosexual rabbits.",non-heteronormative-relationship,homosexual,,,,9
47,32,2,15,7,3:47,3:54,,,"BEVERLY: An outmoded theory, of course, but the boy did spend most of his waking hours with a tight grasp on his penis.",sex,body-part,,,,3
48,32,2,15,8,6:34,6:42,,,"LEONARD: So, what are you guys talking about? | SHELDON: The frequency with which your parents had intercourse. | LEONARD: Swell.",sex,sexual-description,"""sexual intercourse""",,,3
49,32,2,15,11,10:17,10:28,,,BEVERLY: It might explain why the two of you have created an ersatz homosexual marriage to satisfy your need for intimacy.,non-heteronormative-relationship,homosexual,,,,9
50,32,2,15,13,13:24,13:37,,,"PENNY: Yeah, you grab your penis and wouldn't let go. Your mother told me. | LEONARD: Of course she did. Anyway, that's not what I was gonna say.",sex,body-part,,,,3
51,32,2,15,6,16:45,16:51,,,(kissing),sex,long-time-kissing,,TRUE,,3
52,32,2,15,49,18:00,18:49,,,"LEONARD: This is actually gonna happen. | PENNY: Honey, shush, shush, shush, shush. | LEONARD: You shush, I am happy. I want to talk about it. You know what my mother would say about this? She would say because you were not loved by your father, and I was not loved by my mother, that having sex is our way of making up for the intimacy we didn't get as children. | PENNY: Why would you bring that up right now? | LEONARD: I don't know. Foreplay? | PENNY: So you are saying you are not having sex with me, you are having sex with your mother? | LEONARD: I am gonna go with ""no."" | PENNY: That is the sickest thing I've ever heard. | LEONARD: Come on, you are trying to have sex with your father, and I am okay with that.",sex,long-time-kissing,,TRUE,,3
53,33,2,16,5,2:21,2:26,,,"LESLIE: Yeah, the big wet ball of death.",not-sure-why,,,,this is a description about the paintball gun fight,
54,33,2,16,102,7:18,9:00,,,"LESLIE: Boy, your heart's racing. I must have really gotten you going. | HOWARD: Well, it's partly you, partly my transient idiopathic arrhythmia. | LESLIE: Sexy. | HOWARD: Can I assume you that you likewise found the experience… | LESLIE: Satisfactory? | HOWARD: That wasn't quite the word I was looking for, but sure, I will do this pass-fail. | LESLIE: Hey are you enjoying that prototyper I got you? | HOWARD: Oh, it's great. Everybody in the engineering department is eating their hearts out. | LESLIE: Isn't it nice when your good fortune makes others miserable? | LESLIE: You know, most people don't get that. | MRS. WOLOWITZ: Howard, I am home! | HOWARD: Oh great. | MRS. WOLOWITZ: Bookclub was canceled! That thing on Philly's neck opened up again! | HOWARD: I am busy, ma! | MRS. WOLOWITZ: Too busy to help your mother with her zipper?! | HOWARD: Don't come in, ma! | HOWARD: Why not? LESLIE: He's got company! | HOWARD: Oh, there's the arrhythmia. | MRS. WOLOWITZ: Is she Jewish?! | HOWARD: Are you Jewish? | LESLIE: No. | HOWARD: Yes! | MRS. WOLOWITZ: Okay. Then you kids have fun! Use protection!",sex,sexual-description,,,,3
55,33,2,16,6,9:47,9:53,,,LEONARD: We could tell him they wanted the couch to stay away from their boyfriend.,non-heteronormative-relationship,homosexual,,,,9
56,33,2,16,12,14:28,14:40,,,"HOWARD: What am I supposed to do, Leonard? There's a woman out there anxious to have sex with me. You understand, right? | PENNY: No, not at all.",sex,sexual-description,,,,3
57,33,2,16,108,14:58,16:46,,,"LESLIE: You are improving. | HOWARD: Thank you. It helps when I get to practice with a real woman. | LESLIE: Hey listen, Saturday my sister's getting married. I want you to come with me. It's a black tie. | HOWARD: Yeah gee, I'd really rather not. | LESLIE: Why not. | HOWARD: When I go to weddings, it's to scam on chunky bridesmaids. I don't know what I would do with a date. | LESLIE: Oh, all right. I understand. | HOWARD: Thanks. | LESLIE: Hey I am really sorry about that geneva trip. | HOWARD: What about it? | LESLIE: Oh didn't you hear? I had to reduce the number of people going and you didn't make the cut. | HOWARD: When did that happen? | LESLIE: About 12 seconds ago. | HOWARD: Well, hold on. Are you saying if I don't go to the wedding, I can't go to Geneva? | LESLIE: Actually, I'm trying not to say it. | HOWARD: Okay, I am sorry, but that makes me a little uncomfortable. | LESLIE: How so? | HOWARD: Because it's like you are controlling me with new equipment and research trips. | LESLIE: Well if I weren't controlling you with new equipment and research trips, then I'd be uncomfortable. | HOWARD: How so? | LESLIE: Cause then we'd be in, like, a real relationship with feelings and all that crap. | HOWARD: So, bottom line, I'm just a bought-and-paid-for sex toy. | LESLIE: No, no, not at all. You are also arm candy. So? What do you think? | HOWARD: Hey ma, you got to rent me a tux! | MRS. WOLOWITZ: Right now? What kind of sex are you having up there?",sex,sexual-description,,,,3
58,35,2,18,10,7:19,7:29,,,HOWARD: I think I bruised a testicle capturing that last pawn.,sex,body-part,,,,3
59,35,2,18,17,12:36,12:53,,,"PENNY: Get out! Who needs a thousand sparkly flower barrettes with rhinestones? | HOWARD: The fifth annual east rutherford, new jersey, gay, lesbian, bisexual and transgender alliance luau. | SHELDON: Oh, another market to expand. To balding gay men.",non-heteronormative-relationship,homosexual,,,"and other relationship that considers as ""abnormal"" in China",9
60,35,2,18,6,17:49,17:55,,,"LEONARD: We got an e-mail from East Rutherford, New Jersey. Gay, Lesbian, Bisexual and Transgender liance.",non-heteronormative-relationship,homosexual,,,"and other relationship that considers as ""abnormal"" in China",9
61,35,2,18,4,18:53,18:57,00:08.14,00:13.05,"LEONARD: My apologies to the gay community of East Rutherford, New Jersey.",non-heteronormative-relationship,homosexual,,,,9
62,37,2,20,19,5:32,5:51,,,"PENNY: Here, what about this one for my nephew? | SHELDON: A superb choice. | PENNY: Oh, great | SHELDON: Provided he has already read Infinite Crisis and 52, and is familiar with the reestablishment of the DC multiverse. | PENNY: What's a ""multiverse""? | SHELDON: Get her out of here. | HOWARD: Come on, I will help you pick something.",not-sure-why,,,,,
63,37,2,20,56,8:10,9:06,,,"PENNY: Is this me? | STUART: Depends. Do you like it? | PENNY: Wow, it's really good. | STUART: Yes, that's you. | PENNY: That's so sweet, but what if I didn't like it? | STUART: It'd still be you, but I'd feel like an idiot. | LEONARD: I can't believe it. Stuart's putting the moves on Penny. | HOWARD: I have got to learn how to draw. Hey! | SHELDON: Once again, defeated by your own prurient interests. | RAJ: Guys, have you seen Stuart all up in Penny's business over there? | HOWARD: Nobody's up in anybody's business. Let's just buy our stuff and go. | PENNY: Okay you got my number. Now, give me the picture. | STUART: You drive a hard bargain. But here. | PENNY: All right. So um, just give me a call. | SHELDON: So, Leonard, how are you enjoying anything-can-happen Thursday?",not-sure-why,,,,,
64,38,2,21,37,3:13,3:50,00:12.00,00:16.00,"SHELDON: ...gambling addiction, and sexually transmitted diseases.",unhealthy-addiction,alcohol,,,and other unhealthy addiction,8
65,38,2,21,36,10:30,11:06,,,"RAJ: What's wrong with you, dude? That woman was all up in my jammy. | LEONARD: Okay, I hate to break into you and whatever your ""jammy"" is, but I am pretty sure she's a prostitute. | RAJ: What? No… | LEONARD: Let me put it in this way: in your entire life, how many gorgeous women have walked straight up to you in a bar and asked if you wanted to party? | RAJ: Maybe I can save her. | LEONARD: Maybe, but I am guessing it will cost you about $500 an hour to try.",illegal,"""prostitute""","""prostitute""",,,3
66,38,2,21,34,11:48,12:22,,,"RAJ: It's too bad he wasn't here for that hooker. She's exactly his type: a hooker. You know, I bet if we hired her, that would cheer him up. | LEONARD: We're not gonna get Wolowitz a hooker. | HOWARD: I am so lonely and horny, I may open this $20 jar of peanuts and end it all. | LEONARD: I suppose it wouldn't hurt to get an estimate.",illegal,"""prostitute""","""prostitute""",,,3
67,38,2,21,82,12:53,14:15,,,"RAJ: Hello again. | WOMAN: Oh hi. | LEONARD: Hi listen, um… if you are not busy, we were thinking maybe you could… we were wondering… | RAJ: If you are really a prostitute. | WOMAN: You guys cops? | HOWARD: No. | WOMAN: I am a prostitute. | HOWARD: Okay, great. Uh, the thing is, we've got this friend, and he's kind of down in the dumps. And we thought maybe you could cheer him up. | RAJ: With sex. | LEONARD: I think she knows what I meant. | RAJ: How can she when you beat around the bush? She's from the mean streets where they shoot from the hip and keep it real. | WOMAN: Don't worry, I can take care of your friend. | LEONARD: Okay, terrific. Uh, um.. listen, is there a way that we can do this where he doesn't know that you are a, you know... | RAJ: Prostitute. | WOMAN: You want the girlfriend experience. | LEONARD: Yes, yeah, exactly. The girlfriend experience. | RAJ: Actually, if it is not too much to ask, could we have the Jewish girlfriend experience?",illegal,"""prostitute""","""prostitute""",,,3
68,38,2,21,51,17:47,18:38,,,"WOMAN: Turn-ons? Let me see. Reading a good book in front of the fire, long walks on the beach… and getting freaky on the Sabbath with a bacon cheeseburger. | HOWARD: really? Me too! | WOMAN: Oh great. You are hot. | HOWARD: Yeah. Excuse me for a moment. | LEONARD: Hey how's it going? | HOWARD: Cut the crap. You set this up, didn't you? | LEONARD: Yes. | HOWARD: She's a hooker, isn't she? | RAJ: A prostitute, yes. | HOWARD: You already gave her the money? | LEONARD: Yes. | HOWARD: Thank you!",illegal,"""prostitute""","""prostitute""",,,3
69,39,2,22,4,0:18,0:22,00:03.11,00:06.13,RAJ: Have you been selling your sperm again?,sex,body-part,,,,3
70,39,2,22,8,13:39,13:47,,,"SHELDON: Why does Leonard get to go? | HOWARD: Cause he's upset over his situation with Penny. And if I have to hear about it again, I am going to kick him in his ovaries.",sex,body-part,,,,3
71,41,3,1,16,10:37,10:53,,,"HOWARD: If I may abruptly change the subject, did you and Penny finally… you know. | LEONARD: Howard… | Howard: Personally, I don't care. But my genitals wanted me to ask. | LEONARD: Well tell your genitals what I do with Penny is none of their business. | HOWARD: He says they didn't do it. |",sex,body-part,,,,3
72,41,3,1,6,16:42,16:48,00:05.24,00:11.00,"MRS. COOPER: His eyes came out a little thin, but you can just pretend he's a Chinese.",disrespect,china,,,,1
73,42,3,2,2,0:30,0:32,,,"LEONARD: There's more to life than sex, Raj.",not-sure-why,,,,,
74,42,3,2,45,0:37,1:22,,,"LEONARD: Nothing flamed out. We don't have to have sex every night, you know. | HOWARD: You don't have to, but it's highly recommended. | RAJ: Yeah, take advantage of that window of opportunity before it slams shut on your little dinky. | LEONARD: It's not a matter of opportunity. We are getting to know each other. There's a learning curve. | HOWARD: What's there to learn? You get naked, do nasty things to each other, then somebody makes scrambled eggs and salami. Easy peasy. | SHELDON: Perhaps Leonard is oblique referring to the occurrence of some sort of sexual dysfunction. | RAJ: Okay, who had ""Leonard gets a floppy disk""? | SHELDON: Oh, a clever, albeit obsolete, euphemism for insufficient blood flows the male sex organ. heh heh heh. | LEONARD: Nothing like that happened, all right? The sex was... just fine.",sex,sexual-description,,,,3
75,42,3,2,5,1:49,1:54,,,HOWARD: Sex is never the way I dream it's gonna be.,sex,sexual-description,,,,3
76,43,3,3,6,6:03,6:09,,,LEONARD: Why are you carrying extras? | HOWARD: In case I snag one on someone's nipple ring.,sex,body-part,,,,3
77,43,3,3,13,18:10,18:23,,,SHELDON: Sex works even better than chocolate to modify behavior. I wonder if anyone else has stumbled onto that.,sex,sexual-description,,,,3
78,46,3,6,5,8:58,9:03,00:12.14,00:16.15,SHELDON: Most Texans believe it to be a Commie plot.,disrespect,communist,,,,2
79,47,3,7,11,1:41,1:52,00:02.12,00:16.09,"LEONARD: So by ""friend,"" do you mean ""friend friend,"" ""gay friend,"" or ""ex-boyfriend who you are now platonic with but still might have a thing for you friend""? | PENNY: Well, he's definitely not gay. | LEONARD: oh, ho-ho, a definitely not gay musician…",non-heteronormative-relationship,homosexual,,,,9
80,47,3,7,3,4:54,4:57,,,LEONARD: An old boyfriend who's definitely not gay.,non-heteronormative-relationship,homosexual,,,,9
81,48,3,8,8,0:30,0:38,,,"HOWARD: Woo, Real Sex. | RAJ: Big deal. Every time I watch that show, it's old women putting condoms on cucumbers.",sex,sexual-description,,,,3
82,48,3,8,6,1:02,1:08,,,"HOWARD: Oh, this sucks. I'm switching back to Real Sex.",sex,sexual-description,,,,3
83,48,3,8,6,4:45,4:51,,,RAJ: Yeah that would have been great. You and Penny having sex in the tent while I sit out here and watch Howard hump a cactus.,sex,sexual-description,,,,3
84,48,3,8,6,10:33,10:39,00:11.27,00:18.01,HOWARD: I lost my virginity to my cousin Jeanie.,non-heteronormative-relationship,cousin,,,,5
85,48,3,8,2,11:33,11:35,,,HOWARD: Oh! Cousin Jeanie.,non-heteronormative-relationship,cousin,,,,5
86,48,3,8,29,12:37,13:06,,,"SHELDON: While we have a moment, may I ask you a question? | PENNY: What? | SHELDON: Why do you have the Chinese character for soup tattooed on your right buttock? | PENNY: It's not soup. It's courage. | SHELDON: No, it isn't. But I suppose it does take courage to demonstrate that kind of commitment to the soup. | PENNY: How did you see it? You said you wouldn't look. | SHELDON: Sorry. As I told you, the hero always peeks.",disrespect,china,,,,1
87,48,3,8,9,19:55,20:04,,,RAJ: …she was his cousin.,non-heteronormative-relationship,cousin,,,,5
88,48,3,8,16,20:12,20:28,,,HOWARD: And she was my second cousin. | RAJ: And she was my second cousin. | HOWARD: You are a real douche. | RAJ: Who cares? You slept with your cousin.,non-heteronormative-relationship,cousin,,,,5
89,49,3,9,6,6:19,6:25,,,LEONARD: You'd have a better shot with the three-breasted Martian hooker from Total Recall.,sex,body-part,,,,3
90,49,3,9,8,6:27,6:35,,,"HOWARD: Anyway, that movie was like 20 years ago. Imagine how saggy those things would be.",sex,body-part,,,a description refers to a character's breasts,3
91,49,3,9,9,10:50,10:59,,,HOWARD: Oh man. All soaped up and no place to go.,sex,sexual-description,,,when Howard's sexual fantasy is gone,3
92,51,3,11,6,7:04,7:10,,,BEVERLY: …and you are exhibiting the same secretive behavioral tics that accompanied your learning to masturbate.,sex,sexual-description,"""masturbate""",,,3
93,51,3,11,23,7:19,7:42,,,"BEVERLY: So, Howard, have you and Rajesh finally summoned the courage to express your latent homosexual feelings toward one another? | HOWARD: What? No. | BEVERLY: Why not? | HOWARD: Because we don't have latent homosexual feelings toward one another. | BEVERLY: I see.",non-heteronormative-relationship,homosexual,,,,9
94,51,3,11,9,8:49,8:58,,,"HOWARD: If it helps, we're all good with your breasts. | BEVERLY: Classic overcompensation.",sex,body-part,,,,3
95,51,3,11,19,10:58,11:17,,,"PENNY: Eight years? | BEVERLY: Oh that's nothing. I've been responsible for my own orgasms since 1982. | PENNY: Yikes. | BEVERLY: (heh heh heh) | PENNY: What's so funny? | BEVERLY: That's exactly what I say during orgasms: ""Yikes.""",sex,sexual-description,"""orgasms""",,,3
96,51,3,11,8,14:16,14:24,,,"BEVERLY: For example, I'm seriously considering asking that busboy to ravish me in the alleyway while I eat cheesecake.",sex,sexual-description,,,,3
97,51,3,11,21,14:54,15:15,,,"BEVERLY: How did his penis turn out? | PENNY: Oh Beverly, I can't talk to my boyfriend's mother about his penis. | BEVERLY: Oh, fair enough. What can you tell me, if anything, about that busboy's penis? | PENNY"" Actually, I've only had the cheesecake.",sex,body-part,,,,3
98,51,3,11,5,18:57,19:02,,,BEVERLY: Don't make her responsible for her own orgasms as well.,sex,sexual-description,"""orgasms""",,,3
99,52,3,12,1,5:26,5:27,,,PENNY: That you'd be willing to die a horrible death…,not-sure-why,,,,the full sentence is: that you'd willing to die a horrible death on the off-chance you'd get to second base?,
100,52,3,12,9,5:31,5:40,,,"BERNADETTE: Oh we're way past second base. Right, Howard? | HOWARD: Well, we kind of disagree about what the bases are.",sex,sexual-description,,,,3
101,52,3,12,6,13:04,13:10,,,HOWARD: Odds are she's a short physicist with low self-esteem who lives in a government research facility in China.,disrespect,china,,,,2
102,53,3,13,2,0:18,0:20,,,"RAJ: Oh right, I'd kill a hobo if it will get me laid.",illegal,,,,,4
103,53,3,13,12,1:27,1:39,,,"SHELDON: You know, the more I think about it, the mobster sauce couldn't possibly contain chunks of a mobster. | LEONARD: And why is that? | SHELDON: It was listed under ""seafood.""",illegal,,,,,4
104,55,3,15,6,1:26,1:32,00:10.29,00:18.28,"HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.",disrespect,china,,,,1
105,55,3,15,2,9:57,9:59,00:07.10,00:10.00,RAJ: … and your penis would droop like a willow tree.,sex,body-part,,,,3
106,56,3,16,13,4:07,4:20,00:11.09,00:24.09,"PENNY: Um…uh, Stan Lee. Ooh, he was in those goofy kung fu movies you love so much? | LEONARD: That's Bruce Lee. | PENNY: Ohh. So, is this Bruce Lee's nerdy brother, Stan?",disrespect,china,,,,1
107,56,3,16,11,8:15,8:26,,,"SHELDON: Please try to wear something appropriate. It won't help my case if the judge is busy trying to read the word ""juicy"" scrawled across your buttocks.",sex,body-part,,,,3
108,56,3,16,5,10:14,10:19,00:10.01,00:13.25,"SHELDON: Maybe you should put on your ""juicy"" pants again.",sex,sexual-description,,,,3
109,57,3,17,13,1:04,1:17,,,"SHELDON: Leonard, what do the two of you talk about after the coitus? | HOWARD: My guess is, ""Hey, four minutes! New record!"" That's why I am the funny one.",sex,sexual-description,"""coitus""",,,3
110,57,3,17,10,15:02,15:12,,,"RAJ: I am so glad we came to this gentile strip club! Howard, here's more bacon to tuck into the shiksa's G-string!",sex,sexual-description,,,,3
111,58,3,18,22,0:00,0:22,,,"RAJ: Okay, in Avatar, when they have sex in Pandora, they hook up their ponytails, so we know their ponytails are their junk. | HOWARD: Yeah… so? | RAJ: So when they ride horses and fly on the birds, they also use their ponytails. | HOWARD: What's your point? | RAJ: My point is, if I were a horse or a bird, I'd be very nervous around James Cameron.",sex,body-part,,,,3
